Name,R [mm],P5 - rad2 [mm],H [mm],T [C],Max coating stress [MPa],Max substrate-coating normal stress [MPa],Max substrate-coating shear stress [MPa],Min substrate-coating shear stress [MPa],Contact stress [Mpa],Substrate stress 0.1 mm under coating interface[MPa],Substrate stress 0.2 mm under coating interface[MPa],Substrate stress 0.3 mm under coating interface[MPa]
DP 211,22,21,0.3,1000,541.959526571085,57.3628330230713,155.938751220703,-155.37825012207,656.274322509766,235.018851272826,254.490281944657,269.771042736488
DP 212,22,20,0.3,1000,453.454791452253,56.0896739959717,164.023376464844,-162.938842773438,654.291442871094,234.160776845383,253.895593208138,269.330831214977
DP 213,22,19,0.3,1000,451.404296352077,55.8406505584717,142.023788452148,-140.990142822266,620.10205078125,235.335097662785,254.370571807178,269.527769023545
DP 214,22,18,0.3,1000,425.606096808196,55.8114204406738,140.713043212891,-139.873809814453,617.988403320313,234.987540933257,254.027126451845,269.221804147077
DP 215,22,17,0.3,1000,417.292810964802,55.7159881591797,139.054901123047,-138.361175537109,623.267120361328,234.603895354915,253.644245427397,268.879239540659
DP 216,22,16,0.3,1000,414.068571588921,55.5178833007813,136.926574707031,-136.364501953125,696.442413330078,234.176451173666,253.216792478672,268.493208542886
DP 223,22,21,0.25,1000,549.791805118319,69.1690711975098,148.74626159668,-149.619979858398,658.046447753906,223.03953507455,245.236539748694,263.137327225007
DP 224,22,20,0.25,1000,449.023711599103,66.7260551452637,138.403198242188,-137.573791503906,653.749328613281,222.969281506981,244.399782316135,261.898601717303
DP 225,22,19,0.25,1000,443.228411081649,67.1150665283203,137.015121459961,-136.334060668945,624.030059814453,222.670331678964,244.087937448673,261.607798493761
DP 226,22,18,0.25,1000,429.030885325809,66.6408386230469,138.566680908203,-139.422332763672,628.694152832031,222.634318917568,244.501365554729,262.364099987247
DP 227,22,17,0.25,1000,417.873420717623,66.1719207763672,136.421936035156,-137.229904174805,686.257781982422,222.327582624637,244.15178631024,262.026738713596
DP 228,22,16,0.25,1000,382.517131702875,66.3044090270996,133.400238037109,-134.11018371582,636.228637695313,221.986324575057,243.755083434272,261.639917241357
DP 229,22,21,0.2,1000,564.961433578829,85.5109596252441,150.531005859375,-151.349609375,653.649627685547,208.891814188945,233.772853166136,254.131161266436
DP 230,22,20,0.2,1000,452.42107451418,83.9994049072266,155.027069091797,-156.486145019531,655.653350830078,208.204567180659,233.309415807025,253.767567719773
DP 231,22,19,0.2,1000,445.873169913861,82.3762054443359,133.612518310547,-134.412063598633,620.201538085938,209.278524521419,233.476951976101,253.659067136891
DP 232,22,18,0.2,1000,427.660305396163,82.176643371582,131.454116821289,-132.218246459961,625.756011962891,209.031908282018,233.172555957971,253.344799969863
DP 233,22,17,0.2,1000,404.368373864392,81.5396385192871,128.332138061523,-129.077407836914,675.913146972656,208.821060543735,232.86855800774,253.017246273567
DP 234,22,16,0.2,1000,379.275851353096,81.0182800292969,122.828651428223,-123.580368041992,680.6708984375,208.724102173166,232.5884814505,252.681765963022
DP 235,22,21,0.3,800,539.620345344757,61.0113201141357,156.475357055664,-155.919494628906,697.537780761719,286.925108348442,280.036594397397,271.964862563161
DP 236,22,20,0.3,800,449.452658146486,59.8434066772461,166.395156860352,-165.396179199219,701.088836669922,286.06088907383,279.658052318596,271.818296742242
DP 237,22,19,0.3,800,447.599371504162,59.8433818817139,144.108062744141,-143.102355957031,666.319274902344,288.470713567263,280.892702228466,272.568686080759
DP 238,22,18,0.3,800,420.335550161808,59.8207225799561,144.15544128418,-143.346328735352,666.735290527344,288.549178758022,280.998755898204,272.71115293571
DP 239,22,17,0.3,800,412.130429344231,59.7368640899658,144.129272460938,-143.449295043945,671.830871582031,288.645196721309,281.121863133937,272.874277053707
DP 240,22,16,0.3,800,405.056564029092,59.6865940093994,143.933746337891,-143.386962890625,736.918823242188,288.759814958793,281.270295642877,273.064915488544
DP 247,22,21,0.25,800,542.370148164737,74.1252975463867,152.867950439453,-154.269332885742,701.102874755859,285.547271430045,279.166062698691,272.612532137592
DP 248,22,20,0.25,800,442.473017007378,72.52197265625,143.944458007813,-143.09440612793,702.765960693359,285.701604702677,279.16676106223,271.849524928468
DP 249,22,19,0.25,800,437.041238997995,72.6617202758789,143.847320556641,-143.134887695313,671.455627441406,285.781643512889,279.262017630485,271.965182288406
DP 250,22,18,0.25,800,422.663834831838,72.1195220947266,146.158950805664,-147.468673706055,676.308837890625,286.551654223462,279.745282924417,273.090178568881
DP 251,22,17,0.25,800,406.205096688357,71.9533309936523,145.75798034668,-147.072158813477,728.763000488281,286.732892200425,279.913839913969,273.270816705968
DP 252,22,16,0.25,800,374.655645144387,71.7919578552246,144.780746459961,-146.032989501953,682.163360595703,286.966527471153,280.116789849513,273.477167076686
DP 253,22,21,0.2,800,547.916907136756,93.2663383483887,160.31330871582,-162.140655517578,696.949859619141,281.135717561448,276.475878918207,271.183192974179
DP 254,22,20,0.2,800,441.351705018312,91.4866676330566,167.102188110352,-169.791442871094,704.933502197266,280.474892399527,276.308425935204,271.18438002056
DP 255,22,19,0.2,800,435.48207766969,90.1814422607422,144.68571472168,-146.026123046875,668.863647460938,282.806817123587,277.095603457871,271.518618439413
DP 256,22,18,0.2,800,417.419350145076,89.9921035766602,144.133193969727,-145.486953735352,674.204040527344,282.993056546595,277.263870252614,271.680998511115
DP 257,22,17,0.2,800,393.740479027669,89.3895301818848,142.854110717773,-144.221984863281,719.461273193359,283.285933050817,277.498524074175,271.895304149624
DP 258,22,16,0.2,800,368.113714469047,88.7815628051758,139.247817993164,-140.573623657227,719.407623291016,283.844130367484,277.858472206771,272.185915033215
DP 259,22,21,0.3,600,538.223267496074,63.2643032073975,115.209335327148,-114.847946166992,712.430450439453,240.416751881459,224.044131583501,208.623033950461
DP 260,22,20,0.3,600,445.909544481421,62.2216129302979,123.26114654541,-122.608337402344,717.391632080078,239.534640865077,223.755815215504,208.595298293197
DP 261,22,19,0.3,600,445.287194089153,62.2022933959961,105.963119506836,-105.672973632813,684.107727050781,242.412193990074,225.207146493457,209.452918958037
DP 262,22,18,0.3,600,417.776968564029,62.1855087280273,106.543060302734,-106.252410888672,685.249572753906,242.646075735414,225.470263458066,209.739202921336
DP 263,22,17,0.3,600,409.694758653381,62.1047267913818,107.074478149414,-106.782699584961,690.199401855469,242.916113244056,225.769581984077,210.06436772655
DP 264,22,16,0.3,600,399.899642459883,62.0699005126953,107.572715759277,-107.278503417969,750.665191650391,243.226175537058,226.117811913626,210.440064214848
DP 271,22,21,0.25,600,540.710957855286,76.8716735839844,113.708717346191,-114.69930267334,716.825134277344,244.094104412594,226.889584099798,212.12450960138
DP 272,22,20,0.25,600,439.504082018606,75.5835418701172,107.11890411377,-106.684257507324,720.027496337891,244.415782381994,227.259626043479,211.6901604271
DP 273,22,19,0.25,600,435.185736249814,75.5435256958008,107.514823913574,-107.067756652832,689.675201416016,244.626403966232,227.493061551015,211.937987127636
DP 274,22,18,0.25,600,420.85988355199,75.0727043151855,109.65096282959,-110.546012878418,694.553619384766,245.592436129995,227.900356609025,212.985623386293
DP 275,22,17,0.25,600,401.979911924431,74.9384422302246,109.82600402832,-110.72891998291,743.289916992188,245.93461094296,228.240533512819,213.331274438829
DP 276,22,16,0.25,600,372.663919036073,74.754711151123,109.631813049316,-110.485969543457,699.166259765625,246.355999374261,228.639511145582,213.724896292376
DP 277,22,21,0.2,600,542.127953570446,96.9208335876465,121.023536682129,-122.358360290527,712.627685546875,244.724302974346,228.296495338184,214.02029898951
DP 278,22,20,0.2,600,438.364728631558,95.284553527832,126.84888458252,-128.793838500977,721.991882324219,244.024199093515,228.219166472763,214.143971967738
DP 279,22,19,0.2,600,433.472819839388,94.0559577941895,109.544052124023,-110.462928771973,687.476593017578,246.864735838932,229.198114179837,214.572851922467
DP 280,22,18,0.2,600,415.543926697557,93.8682746887207,109.538993835449,-110.468101501465,692.583038330078,247.173356161897,229.509293564863,214.880782947313
DP 281,22,17,0.2,600,391.156694340474,93.5504760742188,109.024063110352,-109.959579467773,734.280395507813,247.604244757858,229.903863416931,215.257448852202
DP 282,22,16,0.2,600,365.537030778001,92.9387969970703,106.701301574707,-107.594055175781,732.483947753906,248.345399140556,230.449808091137,215.728761976286
DP 283,22,21,0.3,400,542.236736462016,64.2686233520508,62.4376525878906,-62.2767066955566,724.975860595703,147.116597083356,134.580872245737,123.469945191006
DP 284,22,20,0.3,400,445.469105569414,63.2981128692627,67.0916290283203,-66.7871017456055,730.832916259766,146.157871802965,134.238808439303,123.398198477578
DP 285,22,19,0.3,400,445.987382243252,63.1610374450684,57.3355216979981,-57.2155265808105,699.208862304688,149.02073576025,135.615570489651,124.14645414355
DP 286,22,18,0.3,400,418.453703502826,63.1441802978516,57.7419319152832,-57.6215934753418,700.824737548828,149.181131194894,135.804785410362,124.357087325883
DP 287,22,17,0.3,400,410.298010962122,63.0615482330322,58.140438079834,-58.0195045471191,705.686950683594,149.366992571805,136.019770526231,124.596245671471
DP 288,22,16,0.3,400,399.063802807725,62.9995784759521,58.5411338806152,-58.418571472168,761.881713867188,149.579715403308,136.27053204978,124.873520999253
DP 289,22,21,0.25,400,546.254635843575,77.8086471557617,61.9058532714844,-62.4074172973633,730.039825439453,151.335999827001,137.531842869104,126.623156747726
DP 290,22,20,0.25,400,440.56258855422,76.4867172241211,58.269702911377,-58.0626487731934,734.202362060547,151.88630608772,137.982390862619,126.421938737444
DP 291,22,19,0.25,400,437.207694559065,76.3762359619141,58.5672225952149,-58.3508796691895,704.995697021484,152.021361024105,138.143909308462,126.600630980256
DP 292,22,18,0.25,400,422.67425521203,75.94775390625,59.8583831787109,-60.3002471923828,709.702972412109,152.643232884659,138.338680639572,127.270189250062
DP 293,22,17,0.25,400,403.319867953817,75.8074493408203,60.0593528747559,-60.5055084228516,755.111114501953,152.874788179325,138.579364274045,127.522677463637
DP 294,22,16,0.25,400,374.182377878151,75.6245841979981,60.069766998291,-60.4859733581543,713.206817626953,153.167961755647,138.863036439226,127.808853046859
DP 301,22,21,0.2,400,545.660791685274,97.725887298584,66.398551940918,-67.0805282592773,725.681335449219,153.332440837037,139.509883495797,128.767680536766
DP 302,22,20,0.2,400,440.820761706919,96.2740783691406,69.8083343505859,-70.7989120483398,735.781616210938,152.505498669844,139.33481054738,128.817574085667
DP 303,22,19,0.2,400,436.539470706136,94.9020919799805,60.0827674865723,-60.5369300842285,702.953430175781,155.450617723636,140.331118336886,129.196013566268
DP 304,22,18,0.2,400,418.36802823196,94.7074890136719,60.1690216064453,-60.6282768249512,707.800201416016,155.631509335738,140.536396656035,129.412413058481
DP 305,22,17,0.2,400,392.999224013888,94.5297088623047,59.9826393127441,-60.4446144104004,746.136138916016,155.904987403584,140.805093961594,129.680479150706
DP 306,22,16,0.2,400,368.600985628861,93.9060859680176,58.7826042175293,-59.2210884094238,742.870086669922,156.463939797376,141.205912546826,130.023253266313
DP 307,22,21,0.3,200,536.848036307708,65.4921035766602,17.9295692443848,-17.9070587158203,733.714630126953,61.0712463641777,52.3468172353386,45.9734202245981
DP 308,22,20,0.3,200,439.063071547374,64.5908546447754,19.448543548584,-19.3883666992188,740.058502197266,60.1693644172744,51.8961613781517,45.7575731332665
DP 309,22,19,0.3,200,441.401420409658,64.3611717224121,16.4956560134888,-16.3916540145874,709.918853759766,62.648663911878,53.2436497931647,46.5253419248972
DP 310,22,18,0.3,200,413.663804565696,64.3572845458984,16.5112085342407,-16.480749130249,711.829986572266,62.6754774054365,53.2934560990653,46.592108375317
DP 311,22,17,0.3,200,405.731266653445,64.2858200073242,16.6559467315674,-16.6439170837402,716.632995605469,62.7108819980626,53.3511903453891,46.6684353608779
DP 312,22,16,0.3,200,390.625974102651,64.17041015625,16.8294239044189,-16.8165435791016,769.513275146484,62.7488756196847,53.4175442200527,46.7570035704264
DP 313,22,21,0.25,200,542.044338200235,78.8342437744141,19.3052806854248,-19.176157951355,739.281219482422,66.6633545180501,55.6770462558916,48.6602145107306
DP 314,22,20,0.25,200,435.718099214304,77.4427070617676,18.1668605804443,-18.0102796554565,743.967498779297,67.5179568021779,56.2822041664694,48.8259348914993
DP 315,22,19,0.25,200,433.978419171946,77.3535766601563,18.1955308914185,-18.0335502624512,715.867980957031,67.5350600813568,56.31987339075,48.8783439182967
DP 316,22,18,0.25,200,419.51073874919,76.9071273803711,18.5461196899414,-18.4154653549194,720.424652099609,67.5879693294634,56.2247211780278,49.0347797956386
DP 317,22,17,0.25,200,397.124143070506,76.7625465393066,18.5035715103149,-18.376841545105,763.174468994141,67.6185258628188,56.2823349285445,49.1112981813344
DP 318,22,16,0.25,200,371.075704027853,76.6004486083984,18.4608945846558,-18.3424482345581,723.031677246094,67.6836225430891,56.3652182610556,49.2055405235285
DP 319,22,21,0.2,200,539.179170509071,98.4342651367188,23.4909019470215,-23.2132339477539,734.780944824219,72.2615853831765,58.8691676636859,51.0389318821532
DP 320,22,20,0.2,200,437.192959822623,97.180362701416,25.0016107559204,-24.7366771697998,745.211578369141,71.5052478862936,58.5308568511429,50.9069827471382
DP 321,22,19,0.2,200,434.241683479696,95.7349395751953,21.1068878173828,-20.8660144805908,713.9140625,74.1666696588406,59.81608148776,51.5301681045565
DP 322,22,18,0.2,200,416.231177322464,95.4535102844238,21.1119508743286,-20.8711357116699,718.547485351563,74.1427441072515,59.8426186536263,51.5822324234356
DP 323,22,17,0.2,200,390.041852093486,95.3970489501953,21.01575756073,-20.7880544662476,754.197448730469,74.127974280949,59.8861446479624,51.652138048449
DP 324,22,16,0.2,200,367.22615864707,94.7703971862793,20.613676071167,-20.3842134475708,749.915313720703,74.2995070756916,60.0380207393485,51.7849902576193
DP 325,22,21,0.3,22,515.922106607595,67.1444358825684,16.3075742721558,-16.2983112335205,739.622955322266,51.7735682741672,42.8076490965261,36.6905012590068
DP 326,22,20,0.3,22,426.01944152071,66.3135223388672,17.5397634506226,-17.5223293304443,746.231231689453,51.9528553160432,42.6881478104264,36.4923062527675
DP 327,22,19,0.3,22,430.711155849559,66.0369453430176,14.9016551971436,-14.9048538208008,717.254089355469,51.8914314625841,43.2940374760926,37.2450858287983
DP 328,22,18,0.3,22,402.529735331156,66.066951751709,14.9015374183655,-14.9051246643066,719.333648681641,51.8696862856491,43.2859799168526,37.2430940196576
DP 329,22,17,0.3,22,395.507547896887,66.030200958252,14.8977451324463,-14.9016981124878,724.094024658203,51.8490890928258,43.2792182644212,37.2415708415231
DP 330,22,16,0.3,22,380.945439967006,65.8879470825195,14.8812642097473,-14.880578994751,774.586029052734,51.8156707538396,43.2576227071709,37.2290918359693
DP 331,22,21,0.25,22,520.266211901765,80.1815147399902,18.0569086074829,-18.0203819274902,745.546478271484,59.3792746977792,47.9613578754443,40.4190999588705
DP 332,22,20,0.25,22,423.228874747821,78.7601165771484,16.8321828842163,-16.8424701690674,750.520629882813,59.7359555878536,48.3794706958098,40.8230393792936
DP 333,22,19,0.25,22,423.981721518355,78.7084465026855,16.8447294235229,-16.8512783050537,723.304565429688,59.731701197959,48.3830302145278,40.8297048925778
DP 334,22,18,0.25,22,410.310591500749,78.3301162719727,17.2190141677856,-17.2022247314453,727.746856689453,59.5328505433849,48.3474142293448,40.8168664539753
DP 335,22,17,0.25,22,388.128141340809,78.2041854858398,17.1650123596191,-17.1420269012451,768.548858642578,59.4392662913732,48.3047790102823,40.7949388973096
DP 336,22,16,0.25,22,362.86856254686,78.0815315246582,17.0974473953247,-17.079888343811,729.684722900391,59.3531726750061,48.2854285544085,40.798094066399
DP 337,22,21,0.2,22,514.112695446489,99.3816108703613,22.4204692840576,-22.324649810791,740.935607910156,69.6959378822938,53.8716456570165,44.2628650194734
DP 338,22,20,0.2,22,424.401405157814,98.2960739135742,24.0022783279419,-23.9176168441772,751.516448974609,69.843802217688,53.7319390764237,44.081134706559
DP 339,22,19,0.2,22,423.849064585135,96.8437309265137,19.92018699646,-19.8591842651367,721.401702880859,70.2187100833361,54.8070876697096,45.1281627841081
DP 340,22,18,0.2,22,406.966795376742,96.5766754150391,19.9141063690186,-19.8523769378662,725.87646484375,70.115159714056,54.7610351207678,45.103921057886
DP 341,22,17,0.2,22,380.684699137318,96.5299873352051,19.8053979873657,-19.7577123641968,759.56396484375,69.9095853816592,54.6698736134183,45.0572710273631
DP 342,22,16,0.2,22,356.221163243044,95.9248046875,19.3830871582031,-19.3380556106567,754.595001220703,69.6408192247418,54.6158411983644,45.068768535526
